name,birthdate,address,phone,city,state,device_id,status
Éric de Colin,1958-12-29,Vial de Débora Rincón 262,06 19 78 89 36,East Sandra,Hessen,5b5053e3-12d0-4e86-8ddf-eaa4326eb4ef,error
Patrick Hahn,1980-05-22,"Flat 60
Amy prairie",+34 901560300,Daniel,Toledo,6a34fe88-593e-4b76-a2dd-6d1cd54c023e,success
Dolores Gilabert-Salom,1952-10-30,Glorieta de Consuelo Salcedo 9,+49(0)6416095457,Murcia,Sachsen,a4826ec2-90c9-40fc-a610-2e26f9d99685,error
Julie Moreno du Buisson,1990-10-19,Adlerallee 1/4,+33 (0)2 58 12 70 79,Düren,Minnesota,c4372a59-e87a-430d-a462-699d561080e6,error
Jérôme Berger,2003-11-03,Pasadizo Marisa Sanz 6 Piso 2 ,0151 4960384,La Rioja,Saarland,5061e8b8-5ca5-4f3d-b2be-642254f581ba,success
Destiny Brown,1956-11-19,Pasaje de Eulalia Bou 64,4739713499,Faure,New Hampshire,2a8e6332-3e82-4cb3-b261-8658f4b9a1d5,active
Richard Tessier de Mace,1940-09-04,693 Campbell Light,0114 4960665,Vechta,Ohio,b7a7aba6-1e24-4223-9ac6-6551ee78a6af,success
Tyler Wilson,1980-11-02,chemin Pelletier,+44(0)292018565,Port Paulafurt,Kansas,fcac8160-b6ce-426d-8925-6428da61308e,active
Bienvenida Eulalia Blazquez Arco,2004-04-07,7 George canyon,+44(0)1514960782,Lindseymouth,Florida,93a5a8e5-a19d-4e30-8118-c53c6379f721,inactive
Dipl.-Ing. Alfredo Klemm,1991-05-02,Calle Sancho Feliu 4,275-207-3906x34900,Thompsonburgh,Thüringen,17b7804f-179a-476d-bbbb-7ccfc35b7dc2,success
Billy Smart,1986-10-15,0668 Austin Mountains,+49(0)9532 67121,West Kayleigh,Santa Cruz de Tenerife,5885adac-e2c9-4711-b685-81550614a862,pending
Miss Anna Hunt,1955-07-12,Caroline-Loos-Ring 79,+443069990568,Salamanca,Sachsen-Anhalt,e91e80e3-aabf-4ee3-a18a-572ac489507d,error
Lucila Chaparro Diez,1974-01-18,"5, rue Guy Vidal",308-988-1302x13432,Huesca,Thüringen,061f1038-71fc-4ec6-8a76-eaa2c7ee5d15,error
Paulina Klingelhöfer,2003-02-13,"Flat 7
Benjamin cove",+34820132386,Badalzungen,Navarra,f9699112-b47c-4120-9c9a-9582e0557fdc,active
Micaela Pintor Batalla,1972-10-30,42201 Carl Heights Suite 332,+34881826190,South Wendyburgh,New Hampshire,697e24d0-3d2d-4943-9be4-4cb8a781fba2,success
Richard Hampton,1998-07-13,"Studio 23
Davidson crescent",001-216-985-4372x291,Salamanca,Schleswig-Holstein,0809a9c8-6213-449c-93ab-cc7ff389b754,pending
Dr Tony Fisher,2000-12-29,Avenida Salomé Ferrando 6 Apt. 95 ,(04527) 34342,Kellychester,New Hampshire,b0e7bf08-502a-4456-a555-fa5e64498a04,error
Roger Morris-O'Donnell,1980-05-07,Georgine-Hellwig-Platz 5,6235313224,Husum,Palencia,2ed06461-2773-44cc-a878-8eb2883da340,success
Diana Evans-Mitchell,1948-04-15,C. Adán Villalonga 4,+49(0)7591611998,Wernigerode,Valladolid,51996e9d-14d4-462a-be05-0adacf75ff2b,error
David Williams,1963-03-02,Rambla Paca Sanmartín 89,+33 2 61 03 98 22,North Daniel,North Dakota,8052d28b-7f6b-46e7-803f-6c36da365747,active
Dr. Heike Striebitz,1959-01-13,"Flat 7
Watts place",+49 (0) 4993 671076,Gomes,Bayern,2813a289-4f4d-4b73-bedb-02bfca23d817,inactive
