name,birthdate,address,phone,city,state,device_id,status
Augustin François,1977-02-12,"12, rue Véronique Marin",+34 841 603 694,Badoberan,Bremen,c272b0b9-88c6-48cc-babe-de6de4b088b2,inactive
Patricia Richard,1958-10-13,Hendriksstr. 35,(507)445-0547,Fishertown,New Jersey,be61d529-1ba7-45a1-b745-51c98d75b93f,inactive
Yves Berthelot,1952-12-12,"53, chemin Neveu",(0113) 4960141,Port Andrea,Vizcaya,70e5f339-1f59-4971-99b5-6f1f13587805,active
Lissy Klotz,1969-06-03,72670 Kyle Loop,(07309) 122040,Rehau,New York,da5e1c34-2444-47c0-a382-967141100004,pending
Domitila Calvet,1997-03-29,01585 Sydney View Suite 126,+1-614-862-8893x35198,New Darrylmouth,Mecklenburg-Vorpommern,b0ae59ab-7724-450f-87a7-2ba27cdcb90e,success
Dr Norman Ball,1985-08-23,"9, chemin Rodriguez",+34 807366428,South Holliestad,Alicante,5298ea8c-17e6-45e8-920d-330851664f02,active
Alain-Roger Picard,1954-03-28,434 Ashley Harbors,+1-311-546-0493,Gütersloh,Oklahoma,5ed297d0-e823-408c-8eb7-ddde31692701,success
Götz Mans,1988-04-27,Reutergasse 21,+34825 143 778,Tecklenburg,Sachsen,a0171b76-8e31-4d21-80c5-8377fd8f2468,success
Univ.Prof. Marit Krein B.Sc.,1989-05-02,"96, chemin Célina Collin",290-765-0189x5591,West Patricia,León,7c585bf4-3279-46f7-8759-2c31b2daff23,inactive
Angelo Schenk B.A.,1961-02-14,Paseo Mercedes Jiménez 61 Apt. 01 ,0117 4960899,Sevilla,New Hampshire,33f36895-0878-4b15-aa40-f0134adeed76,error
James Jones,1958-07-20,"36, chemin Adèle Legros",0244768916,Asturias,Pontevedra,dd8f75da-6372-4547-9ea2-57d50c548204,inactive
Jules Leleu,1962-04-27,128 Roy courts,+33 3 76 68 31 22,South Ryan,Nordrhein-Westfalen,03182a3a-f3cb-4d61-914a-3da13026aefe,active
Aloisia Stoll B.A.,1959-09-22,"77, boulevard Masson",01 78 44 27 56,Valladolid,Toledo,3574549d-5a53-47cd-84c0-b7db6179b85c,inactive
Gérard Chauvet,1981-11-08,235 Patel shoal,+1-936-711-5860x25987,East Brittanyland,Nordrhein-Westfalen,3152a913-4c9e-405c-b1bd-2ac23f34e127,active
Christoph Käster,1990-11-27,Acceso Marisa Corral 50,0120898227,Port Aimee,Washington,2f24a1df-a186-4955-aff3-d3f5bedea19a,error
Angélica Comas Ruano,2001-01-29,Pasaje de Isidro Luís 92 Puerta 9 ,+49 (0) 4973 625766,Port Leonhaven,Nebraska,01bd3e45-6dbb-45cc-90aa-d3931550420e,error
