name,birthdate,address,phone,city,state,device_id,status
Anthony Smith,1974-02-10,8 Martin greens,029 2018721,East Rhonda,Jaén,67c33fea-520a-446c-ba8b-ec058a02af5f,success
Linda Moore,1960-12-15,982 Garcia Skyway,655-678-3268x425,New Pamelaton,Oregon,bf48257e-ab96-4168-a663-ffe01465fc18,inactive
Astrid Hoareau,1989-08-09,Mühleweg 87,04 67 23 36 87,Lake Ronald,Bremen,f2cdd706-6897-44e2-b756-8154ca6c14fa,inactive
Andrea Heidrich,1991-11-09,Barthallee 4,+44151 496 0174,Vizcaya,Salamanca,82c09891-c267-4699-9cd3-97e23081db3d,pending
Rémy Dias,1980-03-25,"67, boulevard de Caron",0909 879 0430,Pierrenec,La Coruña,494e87dc-dbcf-4fa6-a5d6-cba1f461e553,error
George Smith,1963-10-26,1948 Murray Forges,+49(0)1602250313,Phillipstown,Bremen,166b3bba-7c24-48c3-9cb3-5f9a4238be1d,inactive
Mr Adam Morris,1999-10-01,"47, rue de Lejeune",+33 (0)5 58 76 53 32,East Julia,Baden-Württemberg,f9c369f5-91b7-4ad6-9b49-cbf3d66afd8d,inactive
Erol Rudolph,1982-08-03,Cuesta Alex Sebastián 4,04264 30592,West Tom,Toledo,17a54735-3dc7-4d9e-826d-e832928cd04f,success
Marie Renault,2002-08-29,"74, avenue de Marchand",+49(0) 483799904,Paulahaven,Schleswig-Holstein,8b7d3a77-22c8-4572-a3a1-ce7c0397b846,active
Dr Alexander Ahmed,1993-08-30,"49, rue Lamy",01134960757,Charpentier,Bayern,7cbce1eb-15f1-447c-a225-5388f395cff6,inactive
Adelina Cueto Canales,1939-12-13,30 Marie summit,03 39 01 58 09,Oranienburg,North Carolina,99fc9026-4602-46d2-93a8-565ab038209d,pending
Daniel Underwood,1952-08-03,"44, boulevard de Neveu",(960)666-9635x50838,East Paul,Valladolid,d20cf942-a73c-44d3-841b-7d787045cf87,inactive
Christopher Conway,1960-10-04,Avenida de Mamen Ramón 299,+44(0)131 496 0802,Kevinmouth,Huelva,c70f0258-3266-4818-b1b5-ce8cc81a65f8,pending
Kimberly Vega,1965-01-12,"16, chemin Paulette Guillon",+49(0)6276877030,Joneston,Palencia,a7cf636b-6012-4f7f-bb52-115eb0609fb6,success
Darryl Wagner,1971-10-26,25199 Jennifer Lock Apt. 005,0632018152,Quedlinburg,Niedersachsen,0252a532-ef18-43d1-b1ff-5c6204b57928,success
Constance Jäntsch B.Eng.,1983-02-05,"766, avenue Colette Couturier",+34 923 457 261,Kusel,Alaska,f053cb4a-2fd0-41ea-96e9-637285bc6a1f,active
Natasha Bowen,1947-06-21,4 Malcolm plains,(08374) 447432,Starnberg,Nordrhein-Westfalen,e3d2520c-4cee-4e76-b2d8-5e67a4f84502,pending
Marta Macaria Pedrosa Vall,1955-12-09,Ronda de Pepito Aznar 75 Piso 6 ,0473197892,Gadebusch,Sachsen-Anhalt,569daaea-b4a9-4d12-924b-acbe18950114,success
Jake Connor,1945-04-29,"Studio 92R
Edwards forges",+33 (0)3 81 60 96 92,Pontevedra,Florida,ced12501-cca2-4a14-b695-7bebb4a6624e,inactive
Ryan Martin,1944-10-31,9249 Madeline Greens Apt. 565,+49(0)3337627538,Lugo,Niedersachsen,7a388f7b-7c98-4eff-916d-425018bbac7e,success
Segismundo Bastida Piña,1939-09-27,"Studio 39r
Charles square",+34 848 654 950,Royer,Ávila,a5432190-8d92-4497-8384-635b67083b0a,error
Florina Cervantes Ricart,1982-05-15,"7, chemin de Bruneau",0375470303,West Victorland,Arkansas,1a12469f-2ab1-42ec-8473-4c4ff35789a2,inactive
Bernd-Dieter Hermann-Dippel,1958-12-28,Dowergplatz 258,+1-214-919-1044x87341,Hamburg,Connecticut,152a9ebb-7008-4a81-9271-e4bbf173e1f8,inactive
Yago Márquez Valenzuela,1936-01-04,Reisingring 6,911.370.4928,Passau,Burgos,7fb5f8b8-ef65-411e-af7a-60a968bb0ef6,error
Théophile Ramos,1987-06-23,Calle de Mauricio Borrell 4,+33 4 57 11 15 23,Dinslaken,Nordrhein-Westfalen,f58dd232-ab12-4c92-ac8e-0689dc177073,success
Albino Cornejo León,1978-11-19,Glorieta de Elba Gelabert 7,(0161) 496 0151,Santoshaven,Rheinland-Pfalz,5110a2b5-c6ea-4bf7-9d52-12d61b68e630,inactive
Allison White MD,2003-12-02,"Studio 6
Conor fords",06 32 20 25 57,Almería,Melilla,ff2c6004-6d8a-4e9b-bdf3-3e6a3a7f550e,pending
Martine Weber,1966-04-07,"Flat 0
Pritchard lights",+49(0)7579 67721,Kehl,Brandenburg,aa209213-8009-4e31-8d24-7f896fad634d,error
Uta Winkler-Henschel,1970-06-29,23 Fiona rest,+441174960259,Frenchton,Georgia,85e02465-d5dd-4eff-ab20-20914b20cb99,error
Berthold Beckmann,1991-10-26,rue Gabrielle Jacquot,392-478-1896,Sainte Margaux-sur-Mer,Huesca,787ea33b-720f-4518-be7b-5fbe9bc457b6,error
Domingo Ramón Gallart Caro,1950-05-03,"Flat 5
Debra roads",+33 3 82 92 92 19,Dijoux,Oklahoma,73142ef8-5097-4be6-a7ec-905f231c2f2f,error
Christophe Blanchard,1991-11-11,071 Wilkerson Shores Suite 778,+44(0)115 496 0573,Masson,Bremen,d7b950f7-1f61-40a6-b2e5-b2279a8fa6c9,pending
Valero Abraham Pla Tudela,2006-09-04,"3, chemin Éléonore Pottier",+44(0)141 496 0177,Ludwigslust,Schleswig-Holstein,23b0d043-a37d-44aa-9cc5-8e335efd2167,active
Karlheinz Rosemann,1961-04-08,Jessika-Preiß-Allee 6,01 47 15 10 87,Lucas,Iowa,0b6bf023-9cf4-40ed-a690-c22c93850868,pending
Herr Urban Stey,1970-03-09,Alameda de Vicente Maestre 974,6933100007,Neubrandenburg,Colorado,eb6b5a00-f0f2-4654-ab53-81291bc93bcf,active
Amanda Jacobs,1977-12-06,311 Whitaker Estates,0222568529,PereiraBourg,Toledo,66a19158-8a68-4fa4-be0d-1c67f663cc17,pending
Alex Martins,2004-09-07,"Studio 32
Bruce creek",02 46 86 78 99,Barcelona,North Carolina,088ff707-e6c1-4abd-bfb7-f13ca2b77697,success
Marguerite Valette-Étienne,1979-12-06,"Studio 6
Martin pine",+44151 496 0760,South Janicehaven,Alaska,3862e3f9-2350-4e81-b924-e3cbfb189612,pending
Elisa Alonso Jiménez,1964-07-25,Camino Melania Busquets 9 Puerta 1 ,+44(0)114 496 0785,Mcdonaldberg,Bayern,3c9c59bf-f4f6-4a64-b32d-21c63ee3c86a,inactive
Dominga del Gomis,1982-08-22,45 Jessica estates,+44(0)131 4960085,Port Robertfurt,Soria,95e8533b-d925-4013-b917-8fa776ba71f5,inactive
León Saavedra Roda,1964-09-30,0034 Joseph Isle,+34 972410044,Blanchard,Sachsen,0fbdb254-bec9-4cbf-88af-73bfd1b4de6e,active
Brianna Jefferson,1975-12-27,"74, chemin Mathilde Teixeira",+1-809-858-2799x2117,Weimar,Mecklenburg-Vorpommern,8c1f6d81-fc5c-4f36-af45-92e1f27b74e3,inactive
