name,birthdate,address,phone,city,state,device_id,status
Jennifer Gilbert,1958-09-25,"Flat 6
Bentley wells",(0118)4960309,Murcia,Rheinland-Pfalz,b808832e-7681-4106-ab4c-6f3cab745494,pending
Emmanuel Rossi,1960-11-24,6 Paige inlet,(0116) 496 0575,Costa-sur-Peltier,Almería,93896b05-e0f2-49ea-ba40-c3b0fc2aa924,active
Marie-Luise Krein,1976-02-13,"93, avenue Gilles",+34872383583,Halberstadt,Sevilla,926fe735-9513-41eb-8480-c16ee905853c,active
Noé Calatayud Flores,1945-06-17,8 Gareth run,02534 915431,Lake Louisemouth,Niedersachsen,41701cd5-e62c-47a7-aff4-8bc74cd21fe1,success
Pasquale Thies,2006-06-24,"92, rue Colin",0624878753,Sainte Julie,New Jersey,fef0134f-c93d-4fe7-afaf-08f6c20bbd9e,pending
Salvador Seguí Ferrero,1989-11-30,86449 Miller Valley,0808 1570739,West Aaron,Sachsen,631605b1-6509-4ed8-9c29-ddf831c83a8c,success
Dr. Gisela Warmer,1974-11-30,Huhngasse 7/9,+34841 35 03 98,Álava,Ávila,ed032c83-e372-438c-8aad-b797c86d30a8,success
Theresa Marshall,1976-05-10,"26, boulevard de Buisson",01405 469658,Saint LouiseBourg,Thüringen,8a6eabf9-c3cc-4eee-8609-ea3fc17ee1f4,pending
Ms Beth Evans,1943-07-17,"480, boulevard de Labbé",0771614241,Regen,Sachsen-Anhalt,bdc1c8d1-7953-4541-a119-82020dfd3d43,pending
Mr Kyle Richardson,1970-12-15,avenue Lefort,(028)9018223,Lake Elizabethside,Madrid,1d182951-3ffe-4a05-8d5a-1cdd1ca95a48,inactive
Nadeshda Säuberlich,2000-03-28,"Flat 14d
Gerald vista",+44(0)808 157 0618,Joannaside,Álava,988e930c-1432-4ea3-b0d9-bb9f937faab2,success
Ryan Ibarra,1994-04-23,Darius-Hecker-Allee 6/2,7192090481,Port Normanfort,Santa Cruz de Tenerife,53216114-4e3d-4fcf-ac7d-216348130e63,active
Ashley Palmer,2003-04-12,3080 Charles Terrace Suite 064,01865355997,Paris,Segovia,07b1185d-dc85-4ec4-93e8-3d386027a7ef,success
Margaux de Lesage,1960-09-19,Ehlertallee 07,+34873947854,Grimmen,Thüringen,0f79c2c7-bb81-47d7-a5c3-7e94e438680d,success
Sylvie Barth,1998-02-19,C. de Javi Nicolás 64,+33 2 18 01 69 16,Forst,Cádiz,9ea458e5-6d4e-4037-bf8d-16ee62b7529e,success
Margot Clément,1965-08-08,76743 Forbes Groves Suite 573,776.700.8285x9459,Victorhaven,Texas,5931f13f-ee8c-4094-9023-dc9a1db6d411,success
Hubertine Pärtzelt,1998-12-25,Alameda de Martirio Quiroga 8 Puerta 5 ,01414960066,Finsterwalde,Niedersachsen,de52678b-f9e3-47e9-bf8d-85503b0d645c,pending
Alice Torres,1970-11-22,Paseo Iván Mesa 7 Puerta 9 ,05975338757,Weißenfels,Nevada,5b2c9458-17d4-4fe5-956b-724f5e4a6222,active
Hortense Pires-Lamy,1998-03-25,Schülerstr. 9,+34 825 836 158,Heinsberg,Albacete,22237109-2853-4c06-901f-a7ee59e0be5b,inactive
Alphonse Devaux-Louis,2007-04-08,66 Collier drive,05473 51870,Lefebvre-la-Forêt,Ciudad,bb0877ab-6022-422a-b1db-79c0eb11d62f,error
Dylan Delgado,1983-06-21,Acceso Teresita Hoyos 486 Apt. 65 ,+33 1 55 83 98 28,Port Jacobmouth,Bayern,afc2c599-32c6-42d9-8d37-f0ea58d3bfd5,pending
Adèle de la Lombard,1996-05-01,Cuesta de Carmen Giralt 59 Piso 0 ,+449098790785,Córdoba,Guadalajara,d8dde221-9323-488f-b102-3ad3054f55f5,active
Irene Tomlinson-Robinson,1957-03-28,Sergej-Kabus-Gasse 439,06200562005,Neunburg vorm Wald,Montana,e138455b-22f0-4832-80ee-36cd9c9688a6,success
Mr Gerald Ford,1983-01-12,"50, rue Lorraine Brunel",(02385) 04922,Caldwellside,Valladolid,916985e6-8f44-43bb-ac74-2d6e869c90d6,success
Georges Loiseau,1973-08-28,"Studio 4
Hollie hills",+49(0)2880627079,Mitchellhaven,Salamanca,a18750f8-d896-4e9e-bf1b-eb1bb227e404,success
Leire Aliaga,1965-01-18,575 Fiona cove,+34873 388 584,Petit,Louisiana,695db76f-2658-4977-9c05-088908e0ad61,active
Catalina Sevillano,1980-07-30,Schmidtring 8/3,+49 (0) 7489 158634,Lenoir,Bayern,05391f5e-fc0f-42c4-911e-c245a5def5e6,active
Melanie Butler,1978-07-03,12447 Brandon Expressway Apt. 086,+49(0)5863124735,Karlburgh,Córdoba,abe6e4cf-5c04-4e6e-8ab7-e504b8ad06a7,inactive
Úrsula Ibáñez Agudo,1964-11-22,Pasadizo Chus Heras 20,(0808)1570255,Jaén,Alaska,0060a71e-f6fd-4302-b5af-1dda269a8c24,pending
John Jones,1958-06-20,"Studio 1
Cooper islands",08046 949665,East Wesley,Salamanca,071c6750-1cc1-4688-ad30-66b88298c7d2,success
Éric Thomas,1997-10-17,Pasadizo de Chuy Varela 72 Puerta 3 ,+34948 63 64 28,Cuenca,Huesca,f80d43d8-5679-456c-8268-ae1e9ee43e09,pending
Amalia Laguna-Escribano,1960-05-16,Cañada de Rosa Bermejo 409,(05651) 61725,Lobenstein,Schleswig-Holstein,98b97d38-a180-4d69-95c9-00edaad145fa,success
Émile Ramos-Collet,1958-07-05,557 Alfred Grove Suite 118,+49(0) 545866340,Murcia,Guipúzcoa,4dbbfa69-4d45-4822-8717-fab31e5b9fff,inactive
Donna Walsh,2000-08-26,"Flat 0
Thomas land",020 74960898,Hechingen,Zamora,f2a67796-329e-4cf6-b5e2-eef1eb3a4c99,error
Christina Hodges,1954-09-26,16194 Johnson Valley Suite 765,+44(0)114 4960308,Ciudad,Hawaii,eb4fdf93-9530-4439-847f-78e8f876087f,error
Tristan-David Jacquot,1940-03-27,Gunar-Naser-Allee 1/4,815.972.0605,West Norman,Lugo,bfde68fb-3f80-480a-b51e-1bcbfd7a7bb3,inactive
Tere Giménez Antúnez,1992-03-26,28 Smith crescent,299-372-8388x0821,Guipúzcoa,Utah,2e218a60-e2a6-44ce-a0a1-daa174c33e06,active
Walfried Mälzer,1972-08-25,Cuesta Anselmo Maza 260,01 83 95 42 80,Palencia,Bremen,51290934-5257-4fa0-9ec4-52b67ee0d1e4,active
Román Hernandez Montero,1997-12-29,443 Joseph Tunnel Suite 265,(0141)4960636,East Joeland,Alaska,6c40bb4d-699d-48bc-afa6-4c791c5c58cb,pending
Michelle King,2001-05-09,7 Dawn plaza,9908373236,Kyritz,Asturias,5b31114a-fa62-4c33-9b21-bb8153743f7c,active
Mrs. Kayla Rangel,1941-01-02,"Studio 28
Jason station",+49 (0) 6814 694927,Lake Ritastad,Minnesota,b4179cd8-8bf4-4d42-a0ed-dcdc933bb955,active
Antonius Kitzmann,1938-11-01,Meisterallee 59,+44114 496 0094,Lake Joyce,Bremen,8f850d27-d969-446a-96e3-312a654d2b5b,inactive
